                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.2381,                  2.389,                 1.1757,                 0.8651,                0.20295,                0.80382,                0.49777,                 1.0743,                 3.3226,                 1.1132,             0.00064912,             0.00064912,             0.00064912
                      1,                 1.3159,                 1.6821,                 1.2028,                0.63606,                0.51266,                0.55743,                0.28978,                 1.4637,                 3.3466,                 1.4396,              0.0013028,              0.0013028,              0.0013028
                      2,                 1.3186,                 1.6215,                 1.2431,                0.81447,                0.74684,                0.83462,                0.47051,                 1.3101,                 2.5398,                 1.3094,              0.0019432,              0.0019432,              0.0019432
                      3,                 1.3537,                 1.4108,                 1.2515,                0.80484,                0.84177,                0.83908,                0.46147,                 1.3314,                 2.6233,                 1.3929,              0.0019406,              0.0019406,              0.0019406
                      4,                 1.3694,                 1.2766,                 1.2766,                  0.768,                 0.8171,                0.85237,                 0.5184,                  1.335,                  1.608,                 1.3952,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.2817,                 1.1088,                 1.2267,                0.84819,                0.91943,                0.90789,                0.54847,                 1.2719,                 1.3208,                 1.4271,              0.0019208,              0.0019208,              0.0019208
                      6,                 1.2511,                 1.0792,                  1.231,                0.80568,                0.96835,                0.88601,                0.59852,                 1.2005,                 1.3142,                 1.2975,               0.001901,               0.001901,               0.001901
                      7,                 1.2217,                0.97082,                 1.2128,                0.83848,                0.89241,                0.89934,                0.59663,                 1.1125,                 1.1165,                  1.254,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.2223,                0.93842,                 1.2375,                0.87626,                0.96203,                0.89832,                0.56709,                 1.2883,                0.93637,                 1.3365,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.2541,                0.89002,                 1.2251,                 0.8438,                0.92311,                0.87954,                0.59481,                 1.1038,                 1.1068,                 1.2806,              0.0018416,              0.0018416,              0.0018416
                     10,                 1.1878,                0.84209,                 1.2119,                0.78045,                0.94495,                0.84804,                0.56034,                   1.12,                 1.2467,                 1.2209,              0.0018218,              0.0018218,              0.0018218
                     11,                  1.192,                0.87635,                  1.192,                0.86209,                 0.9495,                0.88761,                 0.5748,                 1.1024,                0.93067,                 1.2358,               0.001802,               0.001802,               0.001802
                     12,                 1.1539,                0.81289,                  1.188,                0.87378,                0.94304,                 0.8952,                0.60123,                 1.1488,                0.85892,                 1.1946,              0.0017822,              0.0017822,              0.0017822
                     13,                 1.1411,                 0.7918,                 1.1882,                0.81456,                0.93671,                0.88605,                0.59261,                 1.1792,                0.92296,                 1.2891,              0.0017624,              0.0017624,              0.0017624
                     14,                 1.1532,                0.74901,                  1.185,                0.85415,                0.90506,                 0.9193,                0.61333,                 1.0845,                0.79821,                 1.2389,              0.0017426,              0.0017426,              0.0017426
                     15,                 1.1171,                0.76279,                 1.1789,                0.88255,                0.96203,                0.90411,                0.62912,                 1.0501,                0.74915,                 1.2041,              0.0017228,              0.0017228,              0.0017228
                     16,                  1.172,                0.78123,                 1.2024,                0.87889,                 0.9557,                0.92929,                0.64071,                 1.0576,                0.73574,                 1.2247,               0.001703,               0.001703,               0.001703
                     17,                 1.1238,                0.71553,                 1.1815,                0.89799,                0.96835,                0.90877,                0.59656,                 1.1646,                0.81447,                 1.2468,              0.0016832,              0.0016832,              0.0016832
                     18,                 1.1658,                0.80022,                 1.2064,                 0.8947,                  0.968,                0.90721,                0.63445,                 1.0401,                 0.7512,                 1.2079,              0.0016634,              0.0016634,              0.0016634
                     19,                 1.1031,                0.72269,                 1.1706,                0.90079,                0.97689,                0.90795,                0.63834,                 1.0854,                0.69886,                 1.2174,              0.0016436,              0.0016436,              0.0016436
                     20,                   1.15,                0.75865,                  1.209,                0.90361,                0.94927,                0.90171,                0.61258,                 1.1156,                0.77036,                 1.2329,              0.0016238,              0.0016238,              0.0016238
                     21,                 1.1269,                0.70783,                 1.1916,                0.89008,                0.96203,                0.89942,                  0.592,                 1.1175,                0.76242,                 1.2312,               0.001604,               0.001604,               0.001604
                     22,                 1.0851,                0.69713,                 1.1686,                0.89717,                0.96835,                0.90068,                0.63414,                 1.0692,                0.69261,                 1.1922,              0.0015842,              0.0015842,              0.0015842
                     23,                  1.126,                0.71851,                 1.1826,                0.88558,                0.96203,                0.90769,                0.64248,                 1.0589,                0.71085,                 1.2112,              0.0015644,              0.0015644,              0.0015644
                     24,                 1.1178,                0.71752,                 1.1765,                0.90136,                0.98324,                0.91433,                0.62464,                 1.0414,                0.68867,                 1.1864,              0.0015446,              0.0015446,              0.0015446
                     25,                 1.1061,                0.72171,                 1.1982,                0.89419,                0.98734,                 0.9152,                0.65366,                 1.0178,                0.68717,                 1.1915,              0.0015248,              0.0015248,              0.0015248
                     26,                 1.1108,                0.69245,                 1.1884,                0.88417,                0.96835,                 0.9003,                 0.6485,                 1.0317,                0.68375,                 1.1516,               0.001505,               0.001505,               0.001505
                     27,                 1.0434,                0.69347,                 1.1423,                0.89257,                0.93671,                0.90752,                0.64942,                 1.0267,                0.71253,                 1.1934,              0.0014852,              0.0014852,              0.0014852
                     28,                 1.0993,                0.69388,                 1.1817,                0.88974,                 0.9557,                0.91663,                0.62935,                 1.0663,                0.69651,                 1.2239,              0.0014654,              0.0014654,              0.0014654
                     29,                 1.0925,                0.69043,                 1.1815,                0.89067,                0.98734,                0.90625,                0.65274,                 1.0256,                0.66872,                 1.1834,              0.0014456,              0.0014456,              0.0014456
                     30,                 1.0505,                  0.656,                 1.1528,                0.90668,                0.98734,                0.91026,                0.65605,                  1.029,                0.64363,                 1.1901,              0.0014258,              0.0014258,              0.0014258
                     31,                 1.0964,                0.67408,                 1.1613,                0.91205,                0.98454,                0.91494,                0.64953,                 1.0027,                0.61615,                  1.167,               0.001406,               0.001406,               0.001406
                     32,                 1.0623,                0.66473,                 1.1469,                0.90156,                0.98543,                0.94294,                0.67875,                0.97592,                0.60231,                 1.1712,              0.0013862,              0.0013862,              0.0013862
                     33,                 1.0204,                0.63803,                 1.1352,                0.89549,                0.98734,                0.94247,                0.65421,                0.99148,                0.61849,                 1.2074,              0.0013664,              0.0013664,              0.0013664
                     34,                 1.0475,                0.65181,                 1.1478,                0.89313,                0.98101,                0.92624,                0.66624,                 1.0105,                 0.6297,                 1.2105,              0.0013466,              0.0013466,              0.0013466
                     35,                 1.0305,                0.62868,                 1.1467,                0.90914,                0.98734,                0.92263,                0.68839,                0.97282,                0.60647,                 1.1441,              0.0013268,              0.0013268,              0.0013268
