                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.0078,                0.64609,                 1.1364,                0.90204,                0.98453,                0.92083,                0.66229,                 1.0144,                0.61165,                 1.1753,              0.0013466,              0.0013466,              0.0013466
                     35,                 1.0369,                 0.6378,                 1.1204,                0.90811,                0.96855,                0.91608,                 0.6644,                0.98234,                0.61894,                 1.1677,              0.0013268,              0.0013268,              0.0013268
                     36,                 1.0474,                 0.6388,                 1.1541,                0.91261,                0.98524,                0.91253,                0.66762,                0.99004,                0.61583,                 1.1712,               0.001307,               0.001307,               0.001307
                     37,                 1.0569,                  0.638,                 1.1572,                0.86677,                  0.982,                 0.8989,                0.63996,                0.98104,                0.62095,                 1.1749,              0.0012872,              0.0012872,              0.0012872
                     38,                  1.027,                  0.639,                 1.1288,                0.90636,                0.98113,                0.90656,                0.66204,                0.97475,                0.59274,                 1.1485,              0.0012674,              0.0012674,              0.0012674
                     39,                 1.0406,                0.60859,                 1.1273,                0.90665,                0.97484,                0.92087,                0.68716,                0.97156,                0.57982,                 1.1427,              0.0012476,              0.0012476,              0.0012476
                     40,                0.97878,                0.60475,                 1.1023,                0.90991,                0.98113,                0.92358,                0.69153,                0.94363,                 0.5716,                 1.1315,              0.0012278,              0.0012278,              0.0012278
                     41,                 1.0184,                0.61933,                 1.1323,                0.90853,                0.98113,                0.92047,                  0.677,                0.97413,                 0.5856,                 1.1827,               0.001208,               0.001208,               0.001208
                     42,                  1.056,                0.63888,                 1.1527,                0.90792,                0.98113,                0.91908,                0.66421,                0.97388,                0.58575,                 1.1535,              0.0011882,              0.0011882,              0.0011882
                     43,                 1.0172,                0.61993,                  1.119,                0.89607,                0.97611,                  0.915,                0.66307,                 1.0087,                 0.5782,                 1.1559,              0.0011684,              0.0011684,              0.0011684
                     44,                0.98409,                0.61785,                   1.11,                 0.9059,                0.98113,                 0.9055,                0.66992,                0.98036,                0.57254,                  1.145,              0.0011486,              0.0011486,              0.0011486
                     45,                 1.0083,                0.61456,                 1.1199,                0.90205,                0.98742,                0.92132,                0.69524,                0.93239,                0.57611,                  1.143,              0.0011288,              0.0011288,              0.0011288
                     46,                0.95752,                0.59373,                 1.1004,                0.90596,                0.98742,                0.91934,                0.66619,                0.96792,                0.56715,                 1.1603,               0.001109,               0.001109,               0.001109
                     47,                0.97296,                0.58515,                  1.094,                0.90742,                0.98742,                0.92185,                0.67781,                0.97911,                 0.5798,                 1.1427,              0.0010892,              0.0010892,              0.0010892
                     48,                 1.0071,                0.59156,                 1.1204,                0.90043,                0.98113,                0.90266,                0.67945,                0.93958,                 0.5745,                 1.1378,              0.0010694,              0.0010694,              0.0010694
                     49,                 1.0025,                0.62624,                 1.1119,                0.89858,                0.98113,                0.90559,                0.67361,                0.95174,                0.56903,                 1.1337,              0.0010496,              0.0010496,              0.0010496
                     50,                 1.0095,                0.60086,                 1.1255,                0.90211,                0.98528,                0.90989,                0.68439,                0.93175,                0.56618,                 1.1326,              0.0010298,              0.0010298,              0.0010298
                     51,                0.96665,                0.59211,                 1.1072,                0.90714,                0.98742,                0.91664,                0.68002,                0.94149,                 0.5658,                 1.1516,                0.00101,                0.00101,                0.00101
                     52,                 0.9733,                0.60537,                 1.1298,                0.91269,                0.98617,                0.90646,                0.63407,                 1.0427,                 0.5786,                  1.175,              0.0009902,              0.0009902,              0.0009902
                     53,                0.98235,                0.61834,                 1.1142,                0.91189,                0.98742,                0.92132,                0.69781,                0.91639,                0.55429,                 1.1347,              0.0009704,              0.0009704,              0.0009704
                     54,                0.99267,                0.60032,                 1.1126,                0.90646,                0.98742,                0.91213,                0.68358,                0.91562,                 0.5594,                  1.143,              0.0009506,              0.0009506,              0.0009506
                     55,                0.98557,                0.59423,                  1.122,                0.90609,                0.98742,                0.92629,                0.68461,                0.93796,                0.55531,                 1.1386,              0.0009308,              0.0009308,              0.0009308
                     56,                0.98463,                0.60183,                 1.1198,                0.91066,                0.98742,                0.93563,                 0.6898,                0.95124,                0.53926,                  1.129,               0.000911,               0.000911,               0.000911
                     57,                 1.0245,                0.58876,                 1.1245,                0.90068,                0.98113,                0.91265,                0.66709,                0.95825,                0.56999,                 1.1359,              0.0008912,              0.0008912,              0.0008912
                     58,                0.97989,                 0.5873,                 1.1204,                 0.8959,                0.98113,                 0.9057,                0.68474,                0.94117,                 0.5561,                 1.1418,              0.0008714,              0.0008714,              0.0008714
                     59,                0.96716,                0.58609,                 1.1166,                0.90637,                0.98742,                 0.9038,                0.67257,                0.92099,                0.53718,                 1.1365,              0.0008516,              0.0008516,              0.0008516
                     60,                0.92277,                0.55092,                 1.1015,                0.90736,                0.98742,                0.91725,                0.69781,                0.90942,                0.53246,                   1.11,              0.0008318,              0.0008318,              0.0008318
